table_schema,table_name,constraint_name,constraint_type
app,rental_audit_log,rental_audit_log_action_not_null,CHECK
app,rental_audit_log,rental_audit_log_changed_at_not_null,CHECK
app,rental_audit_log,rental_audit_log_id_not_null,CHECK
app,rental_audit_log,rental_audit_log_payment_schedule_id_fkey,FOREIGN KEY
app,rental_audit_log,rental_audit_log_rental_id_fkey,FOREIGN KEY
app,rental_audit_log,rental_audit_log_pkey,PRIMARY KEY
app,rental_documents,rental_documents_document_name_not_null,CHECK
app,rental_documents,rental_documents_document_type_check,CHECK
app,rental_documents,rental_documents_document_type_not_null,CHECK
app,rental_documents,rental_documents_id_not_null,CHECK
app,rental_documents,rental_documents_rental_id_not_null,CHECK
app,rental_documents,rental_documents_uploaded_at_not_null,CHECK
app,rental_documents,rental_documents_rental_id_fkey,FOREIGN KEY
app,rental_documents,rental_documents_pkey,PRIMARY KEY
app,rental_participants,rental_participants_counts_toward_cap_not_null,CHECK
app,rental_participants,rental_participants_created_at_not_null,CHECK
app,rental_participants,rental_participants_id_not_null,CHECK
app,rental_participants,rental_participants_participant_role_check,CHECK
app,rental_participants,rental_participants_participant_role_not_null,CHECK
app,rental_participants,rental_participants_rental_id_not_null,CHECK
app,rental_participants,rental_participants_split_percentage_not_null,CHECK
app,rental_participants,rental_participants_updated_at_not_null,CHECK
app,rental_participants,rental_participants_rental_id_fkey,FOREIGN KEY
app,rental_participants,rental_participants_pkey,PRIMARY KEY
app,rental_payment_schedule,rental_payment_schedule_created_at_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_due_date_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_id_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_payment_sequence_number_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_payment_status_check,CHECK
app,rental_payment_schedule,rental_payment_schedule_payment_status_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_rental_id_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_transaction_created_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_updated_at_not_null,CHECK
app,rental_payment_schedule,rental_payment_schedule_rental_id_fkey,FOREIGN KEY
app,rental_payment_schedule,rental_payment_schedule_pkey,PRIMARY KEY
app,rentals,rentals_counts_toward_cap_not_null,CHECK
app,rentals,rentals_created_at_not_null,CHECK
app,rentals,rentals_frequency_check,CHECK
app,rentals,rentals_frequency_not_null,CHECK
app,rentals,rentals_id_not_null,CHECK
app,rentals,rentals_property_address_not_null,CHECK
app,rentals,rentals_rental_number_not_null,CHECK
app,rentals,rentals_rental_status_check,CHECK
app,rentals,rentals_rental_status_not_null,CHECK
app,rentals,rentals_rental_type_check,CHECK
app,rentals,rentals_rental_type_not_null,CHECK
app,rentals,rentals_updated_at_not_null,CHECK
app,rentals,rentals_pkey,PRIMARY KEY
app,rentals,rentals_rental_number_key,UNIQUE
migration,agent_deregistration_log,agent_deregistration_log_associate_id_not_null,CHECK
migration,agent_deregistration_log,agent_deregistration_log_deregistered_at_not_null,CHECK
migration,agent_deregistration_log,agent_deregistration_log_id_not_null,CHECK
migration,agent_deregistration_log,agent_deregistration_log_pkey,PRIMARY KEY
migration,agent_reactivation_log,agent_reactivation_log_associate_id_not_null,CHECK
migration,agent_reactivation_log,agent_reactivation_log_id_not_null,CHECK
migration,agent_reactivation_log,agent_reactivation_log_reactivated_at_not_null,CHECK
migration,agent_reactivation_log,agent_reactivation_log_pkey,PRIMARY KEY
migration,associate_admin_market_centers,associate_admin_market_centers_associate_id_not_null,CHECK
migration,associate_admin_market_centers,associate_admin_market_centers_id_not_null,CHECK
migration,associate_admin_market_centers,associate_admin_market_centers_pkey,PRIMARY KEY
migration,associate_admin_teams,associate_admin_teams_associate_id_not_null,CHECK
migration,associate_admin_teams,associate_admin_teams_id_not_null,CHECK
migration,associate_admin_teams,associate_admin_teams_pkey,PRIMARY KEY
migration,associate_documents,associate_documents_associate_id_not_null,CHECK
migration,associate_documents,associate_documents_id_not_null,CHECK
migration,associate_documents,associate_documents_uploaded_at_not_null,CHECK
migration,associate_documents,associate_documents_pkey,PRIMARY KEY
migration,associate_job_titles,associate_job_titles_associate_id_not_null,CHECK
migration,associate_job_titles,associate_job_titles_id_not_null,CHECK
migration,associate_job_titles,associate_job_titles_pkey,PRIMARY KEY
migration,associate_notes,associate_notes_associate_id_not_null,CHECK
migration,associate_notes,associate_notes_created_at_not_null,CHECK
migration,associate_notes,associate_notes_id_not_null,CHECK
migration,associate_notes,associate_notes_pkey,PRIMARY KEY
migration,associate_roles,associate_roles_associate_id_not_null,CHECK
migration,associate_roles,associate_roles_id_not_null,CHECK
migration,associate_roles,associate_roles_pkey,PRIMARY KEY
migration,associate_service_communities,associate_service_communities_associate_id_not_null,CHECK
migration,associate_service_communities,associate_service_communities_id_not_null,CHECK
migration,associate_service_communities,associate_service_communities_pkey,PRIMARY KEY
migration,associate_social_media,associate_social_media_associate_id_not_null,CHECK
migration,associate_social_media,associate_social_media_id_not_null,CHECK
migration,associate_social_media,associate_social_media_pkey,PRIMARY KEY
migration,associates_prepared,associates_prepared_prepared_at_not_null,CHECK
migration,associates_prepared,associates_prepared_source_associate_id_not_null,CHECK
migration,associates_prepared,associates_prepared_pkey,PRIMARY KEY
migration,core_associates,core_associates_agent_entegral_portals_not_null,CHECK
migration,core_associates,core_associates_created_at_not_null,CHECK
migration,core_associates,core_associates_exclude_from_individual_reports_not_null,CHECK
migration,core_associates,core_associates_id_not_null,CHECK
migration,core_associates,core_associates_listing_approval_required_not_null,CHECK
migration,core_associates,core_associates_source_associate_id_not_null,CHECK
migration,core_associates,core_associates_updated_at_not_null,CHECK
migration,core_associates,core_associates_vested_not_null,CHECK
migration,core_associates,core_associates_pkey,PRIMARY KEY
migration,core_associates,core_associates_source_associate_id_key,UNIQUE
migration,core_listings,core_listings_created_at_not_null,CHECK
migration,core_listings,core_listings_id_not_null,CHECK
migration,core_listings,core_listings_no_transfer_duty_not_null,CHECK
migration,core_listings,core_listings_poa_not_null,CHECK
migration,core_listings,core_listings_source_listing_id_not_null,CHECK
migration,core_listings,core_listings_updated_at_not_null,CHECK
migration,core_listings,core_listings_pkey,PRIMARY KEY
migration,core_listings,core_listings_source_listing_id_key,UNIQUE
migration,core_market_centers,core_market_centers_created_at_not_null,CHECK
migration,core_market_centers,core_market_centers_entegral_opt_in_not_null,CHECK
migration,core_market_centers,core_market_centers_entegral_portals_not_null,CHECK
migration,core_market_centers,core_market_centers_has_individual_cap_not_null,CHECK
migration,core_market_centers,core_market_centers_id_not_null,CHECK
migration,core_market_centers,core_market_centers_name_not_null,CHECK
migration,core_market_centers,core_market_centers_override_display_location_not_null,CHECK
migration,core_market_centers,core_market_centers_property24_auction_approved_not_null,CHECK
migration,core_market_centers,core_market_centers_property24_opt_in_not_null,CHECK
migration,core_market_centers,core_market_centers_source_market_center_id_not_null,CHECK
migration,core_market_centers,core_market_centers_updated_at_not_null,CHECK
migration,core_market_centers,core_market_centers_pkey,PRIMARY KEY
migration,core_market_centers,core_market_centers_source_market_center_id_key,UNIQUE
migration,core_teams,core_teams_created_at_not_null,CHECK
migration,core_teams,core_teams_id_not_null,CHECK
migration,core_teams,core_teams_name_not_null,CHECK
migration,core_teams,core_teams_source_team_id_not_null,CHECK
migration,core_teams,core_teams_updated_at_not_null,CHECK
migration,core_teams,core_teams_pkey,PRIMARY KEY
migration,core_teams,core_teams_source_team_id_key,UNIQUE
migration,core_transactions,core_transactions_created_at_not_null,CHECK
migration,core_transactions,core_transactions_id_not_null,CHECK
migration,core_transactions,core_transactions_source_associate_id_not_null,CHECK
migration,core_transactions,core_transactions_source_transaction_id_not_null,CHECK
migration,core_transactions,core_transactions_updated_at_not_null,CHECK
migration,core_transactions,core_transactions_pkey,PRIMARY KEY
migration,core_transactions,core_transactions_source_transaction_id_key,UNIQUE
migration,id_map_associates,id_map_associates_core_associate_id_not_null,CHECK
migration,id_map_associates,id_map_associates_source_associate_id_not_null,CHECK
migration,id_map_associates,id_map_associates_pkey,PRIMARY KEY
migration,id_map_legacy_associates,id_map_legacy_associates_legacy_associate_id_not_null,CHECK
migration,id_map_legacy_associates,id_map_legacy_associates_published_at_not_null,CHECK
migration,id_map_legacy_associates,id_map_legacy_associates_source_associate_id_not_null,CHECK
migration,id_map_legacy_associates,id_map_legacy_associates_pkey,PRIMARY KEY
migration,id_map_legacy_listings,id_map_legacy_listings_legacy_listing_id_not_null,CHECK
migration,id_map_legacy_listings,id_map_legacy_listings_published_at_not_null,CHECK
migration,id_map_legacy_listings,id_map_legacy_listings_source_listing_id_not_null,CHECK
migration,id_map_legacy_listings,id_map_legacy_listings_pkey,PRIMARY KEY
migration,id_map_legacy_market_centers,id_map_legacy_market_centers_legacy_market_center_id_not_null,CHECK
migration,id_map_legacy_market_centers,id_map_legacy_market_centers_published_at_not_null,CHECK
migration,id_map_legacy_market_centers,id_map_legacy_market_centers_source_market_center_id_not_null,CHECK
migration,id_map_legacy_market_centers,id_map_legacy_market_centers_pkey,PRIMARY KEY
migration,id_map_listings,id_map_listings_core_listing_id_not_null,CHECK
migration,id_map_listings,id_map_listings_source_listing_id_not_null,CHECK
migration,id_map_listings,id_map_listings_pkey,PRIMARY KEY
migration,id_map_market_centers,id_map_market_centers_core_market_center_id_not_null,CHECK
migration,id_map_market_centers,id_map_market_centers_source_market_center_id_not_null,CHECK
migration,id_map_market_centers,id_map_market_centers_pkey,PRIMARY KEY
migration,id_map_teams,id_map_teams_core_team_id_not_null,CHECK
migration,id_map_teams,id_map_teams_source_team_id_not_null,CHECK
migration,id_map_teams,id_map_teams_pkey,PRIMARY KEY
migration,in_app_notifications,in_app_notifications_associate_id_not_null,CHECK
migration,in_app_notifications,in_app_notifications_category_not_null,CHECK
migration,in_app_notifications,in_app_notifications_created_at_not_null,CHECK
migration,in_app_notifications,in_app_notifications_id_not_null,CHECK
migration,in_app_notifications,in_app_notifications_is_read_not_null,CHECK
migration,in_app_notifications,in_app_notifications_message_not_null,CHECK
migration,in_app_notifications,in_app_notifications_metadata_not_null,CHECK
migration,in_app_notifications,in_app_notifications_notification_type_not_null,CHECK
migration,in_app_notifications,in_app_notifications_title_not_null,CHECK
migration,in_app_notifications,in_app_notifications_updated_at_not_null,CHECK
migration,in_app_notifications,in_app_notifications_associate_id_fkey,FOREIGN KEY
migration,in_app_notifications,in_app_notifications_pkey,PRIMARY KEY
migration,listing_agents,listing_agents_created_at_not_null,CHECK
migration,listing_agents,listing_agents_id_not_null,CHECK
migration,listing_agents,listing_agents_listing_id_not_null,CHECK
migration,listing_agents,listing_agents_updated_at_not_null,CHECK
migration,listing_agents,listing_agents_pkey,PRIMARY KEY
migration,listing_approval_requests,listing_approval_requests_created_at_not_null,CHECK
migration,listing_approval_requests,listing_approval_requests_id_not_null,CHECK
migration,listing_approval_requests,listing_approval_requests_listing_id_not_null,CHECK
migration,listing_approval_requests,listing_approval_requests_status_not_null,CHECK
migration,listing_approval_requests,listing_approval_requests_updated_at_not_null,CHECK
migration,listing_approval_requests,listing_approval_requests_listing_id_fkey,FOREIGN KEY
migration,listing_approval_requests,listing_approval_requests_reviewed_by_associate_id_fkey,FOREIGN KEY
migration,listing_approval_requests,listing_approval_requests_submitted_by_associate_id_fkey,FOREIGN KEY
migration,listing_approval_requests,listing_approval_requests_pkey,PRIMARY KEY
migration,listing_approval_requests,listing_approval_requests_listing_id_key,UNIQUE
migration,listing_contacts,listing_contacts_id_not_null,CHECK
migration,listing_contacts,listing_contacts_listing_id_not_null,CHECK
migration,listing_contacts,listing_contacts_pkey,PRIMARY KEY
migration,listing_features,listing_features_id_not_null,CHECK
migration,listing_features,listing_features_listing_id_not_null,CHECK
migration,listing_features,listing_features_pkey,PRIMARY KEY
migration,listing_images,listing_images_id_not_null,CHECK
migration,listing_images,listing_images_listing_id_not_null,CHECK
migration,listing_images,listing_images_uploaded_at_not_null,CHECK
migration,listing_images,listing_images_pkey,PRIMARY KEY
migration,listing_mandate_documents,listing_mandate_documents_id_not_null,CHECK
migration,listing_mandate_documents,listing_mandate_documents_listing_id_not_null,CHECK
migration,listing_mandate_documents,listing_mandate_documents_uploaded_at_not_null,CHECK
migration,listing_mandate_documents,listing_mandate_documents_pkey,PRIMARY KEY
migration,listing_marketing_urls,listing_marketing_urls_id_not_null,CHECK
migration,listing_marketing_urls,listing_marketing_urls_listing_id_not_null,CHECK
migration,listing_marketing_urls,listing_marketing_urls_pkey,PRIMARY KEY
migration,listing_open_house,listing_open_house_id_not_null,CHECK
migration,listing_open_house,listing_open_house_listing_id_not_null,CHECK
migration,listing_open_house,listing_open_house_pkey,PRIMARY KEY
migration,listing_property_areas,listing_property_areas_id_not_null,CHECK
migration,listing_property_areas,listing_property_areas_listing_id_not_null,CHECK
migration,listing_property_areas,listing_property_areas_pkey,PRIMARY KEY
migration,listing_show_times,listing_show_times_id_not_null,CHECK
migration,listing_show_times,listing_show_times_listing_id_not_null,CHECK
migration,listing_show_times,listing_show_times_pkey,PRIMARY KEY
migration,listing_transfer_log,listing_transfer_log_agent_swapped_not_null,CHECK
migration,listing_transfer_log,listing_transfer_log_id_not_null,CHECK
migration,listing_transfer_log,listing_transfer_log_job_id_not_null,CHECK
migration,listing_transfer_log,listing_transfer_log_listing_id_not_null,CHECK
migration,listing_transfer_log,listing_transfer_log_transferred_at_not_null,CHECK
migration,listing_transfer_log,listing_transfer_log_pkey,PRIMARY KEY
migration,listings_prepared,listings_prepared_prepared_at_not_null,CHECK
migration,listings_prepared,listings_prepared_source_listing_id_not_null,CHECK
migration,listings_prepared,listings_prepared_pkey,PRIMARY KEY
migration,load_rejections,load_rejections_entity_name_not_null,CHECK
migration,load_rejections,load_rejections_id_not_null,CHECK
migration,load_rejections,load_rejections_reason_not_null,CHECK
migration,load_rejections,load_rejections_rejected_at_not_null,CHECK
migration,load_rejections,load_rejections_pkey,PRIMARY KEY
migration,market_center_notes,market_center_notes_created_at_not_null,CHECK
migration,market_center_notes,market_center_notes_id_not_null,CHECK
migration,market_center_notes,market_center_notes_market_center_id_not_null,CHECK
migration,market_center_notes,market_center_notes_note_text_not_null,CHECK
migration,market_center_notes,market_center_notes_market_center_id_fkey,FOREIGN KEY
migration,market_center_notes,market_center_notes_pkey,PRIMARY KEY
migration,market_centers_prepared,market_centers_prepared_prepared_at_not_null,CHECK
migration,market_centers_prepared,market_centers_prepared_source_market_center_id_not_null,CHECK
migration,market_centers_prepared,market_centers_prepared_pkey,PRIMARY KEY
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_mc_source_id_not_null,CHECK
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_payload_not_null,CHECK
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_refreshed_at_not_null,CHECK
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_snapshot_date_not_null,CHECK
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_pkey,PRIMARY KEY
migration,mc_document_hub,mc_document_hub_created_at_not_null,CHECK
migration,mc_document_hub,mc_document_hub_file_url_not_null,CHECK
migration,mc_document_hub,mc_document_hub_id_not_null,CHECK
migration,mc_document_hub,mc_document_hub_mime_type_not_null,CHECK
migration,mc_document_hub,mc_document_hub_original_file_name_not_null,CHECK
migration,mc_document_hub,mc_document_hub_source_market_center_id_not_null,CHECK
migration,mc_document_hub,mc_document_hub_title_not_null,CHECK
migration,mc_document_hub,mc_document_hub_pkey,PRIMARY KEY
migration,outside_agency_contacts,outside_agency_contacts_created_at_not_null,CHECK
migration,outside_agency_contacts,outside_agency_contacts_id_not_null,CHECK
migration,outside_agency_contacts,outside_agency_contacts_updated_at_not_null,CHECK
migration,outside_agency_contacts,outside_agency_contacts_transaction_agent_id_fkey,FOREIGN KEY
migration,outside_agency_contacts,outside_agency_contacts_transaction_id_fkey,FOREIGN KEY
migration,outside_agency_contacts,outside_agency_contacts_pkey,PRIMARY KEY
migration,team_associate_commissions,team_associate_commissions_created_at_not_null,CHECK
migration,team_associate_commissions,team_associate_commissions_has_individual_cap_not_null,CHECK
migration,team_associate_commissions,team_associate_commissions_id_not_null,CHECK
migration,team_associate_commissions,team_associate_commissions_team_id_not_null,CHECK
migration,team_associate_commissions,team_associate_commissions_updated_at_not_null,CHECK
migration,team_associate_commissions,team_associate_commissions_team_id_fkey,FOREIGN KEY
migration,team_associate_commissions,team_associate_commissions_pkey,PRIMARY KEY
migration,team_associate_commissions,team_associate_commissions_team_id_key,UNIQUE
migration,team_cap_history,team_cap_history_created_at_not_null,CHECK
migration,team_cap_history,team_cap_history_id_not_null,CHECK
migration,team_cap_history,team_cap_history_manual_cap_not_null,CHECK
migration,team_cap_history,team_cap_history_team_id_not_null,CHECK
migration,team_cap_history,team_cap_history_team_id_fkey,FOREIGN KEY
migration,team_cap_history,team_cap_history_pkey,PRIMARY KEY
migration,team_caps,team_caps_created_at_not_null,CHECK
migration,team_caps,team_caps_id_not_null,CHECK
migration,team_caps,team_caps_manual_cap_not_null,CHECK
migration,team_caps,team_caps_team_id_not_null,CHECK
migration,team_caps,team_caps_updated_at_not_null,CHECK
migration,team_caps,team_caps_team_id_fkey,FOREIGN KEY
migration,team_caps,team_caps_pkey,PRIMARY KEY
migration,team_caps,team_caps_team_id_cap_year_key,UNIQUE
migration,team_dates,team_dates_created_at_not_null,CHECK
migration,team_dates,team_dates_id_not_null,CHECK
migration,team_dates,team_dates_team_id_not_null,CHECK
migration,team_dates,team_dates_updated_at_not_null,CHECK
migration,team_dates,team_dates_team_id_fkey,FOREIGN KEY
migration,team_dates,team_dates_pkey,PRIMARY KEY
migration,team_dates,team_dates_team_id_key,UNIQUE
migration,team_notes,team_notes_created_at_not_null,CHECK
migration,team_notes,team_notes_created_by_not_null,CHECK
migration,team_notes,team_notes_id_not_null,CHECK
migration,team_notes,team_notes_note_text_not_null,CHECK
migration,team_notes,team_notes_note_type_not_null,CHECK
migration,team_notes,team_notes_team_id_not_null,CHECK
migration,team_notes,team_notes_team_id_fkey,FOREIGN KEY
migration,team_notes,team_notes_pkey,PRIMARY KEY
migration,team_portal_settings,team_portal_settings_created_at_not_null,CHECK
migration,team_portal_settings,team_portal_settings_entegral_portals_not_null,CHECK
migration,team_portal_settings,team_portal_settings_feed_to_entegral_not_null,CHECK
migration,team_portal_settings,team_portal_settings_feed_to_p24_not_null,CHECK
migration,team_portal_settings,team_portal_settings_id_not_null,CHECK
